checkpoint_name,epsilon,n_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_0.pkl,0.0,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,0.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,0.0,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,0.0,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,0.0,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,0.0,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,0.5,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,0.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,0.5,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,0.5,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,0.5,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,0.5,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,1.0,1,Kids_II,RT,-0.096644515954799,0.3489078166560933,-0.1055178687168988,0.3062244531124966
trained_model_checkpoint_0.pkl,1.0,1,Kids_II,zRT,-0.0964540747439687,0.3498628322593451,-0.1166250127923619,0.2578090060001628
trained_model_checkpoint_0.pkl,1.0,1,Kids_II,ER,-0.1861986314760338,0.0693108994329107,-0.1678989143835203,0.1020182125429388
trained_model_checkpoint_0.pkl,1.0,1,Adults,RT,-0.145514967914817,0.1571814669846791,-0.149946445018751,0.1447904794775462
trained_model_checkpoint_0.pkl,1.0,1,Adults,zRT,-0.1131994233004929,0.2721484157458869,-0.1092202500753865,0.2894676932605646
trained_model_checkpoint_0.pkl,1.0,1,Adults,ER,0.0717495712402317,0.4872517899894939,0.0849933953692785,0.4103122272033954
trained_model_checkpoint_0.pkl,1.5,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,1.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,1.5,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,1.5,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,1.5,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,1.5,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,2.0,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,2.0,1,Kids_II,zRT,,,,
