checkpoint_name,training_step,population,measure,epsilon,pearson_r,pearson_p
trained_model_checkpoint_400.pkl,400,Adults,ER,4.5,0.2622596365906425,0.0098429385599442
trained_model_checkpoint_410.pkl,410,Adults,ER,7.5,0.2486050794599721,0.0145903967133556
trained_model_checkpoint_420.pkl,420,Adults,ER,7.5,0.2486050794599721,0.0145903967133556
trained_model_checkpoint_430.pkl,430,Adults,ER,3.0,0.2329037060203949,0.0223957398779523
trained_model_checkpoint_440.pkl,440,Adults,ER,9.0,0.228728431682624,0.024992507887376
trained_model_checkpoint_450.pkl,450,Adults,ER,7.5,0.3169459470649418,0.001653622911488
trained_model_checkpoint_460.pkl,460,Adults,ER,6.0,0.2622596365906426,0.0098429385599442
trained_model_checkpoint_470.pkl,470,Adults,ER,9.0,0.2551782786674332,0.0121018027500251
trained_model_checkpoint_480.pkl,480,Adults,ER,6.0,0.2759034180515902,0.0065103490864542
trained_model_checkpoint_490.pkl,490,Adults,ER,9.0,0.3032293718425904,0.002671968022967
trained_model_checkpoint_500.pkl,500,Adults,ER,7.5,0.2426644122364361,0.0172098633703124
trained_model_checkpoint_510.pkl,510,Adults,ER,9.0,0.2426644122364361,0.0172098633703124
trained_model_checkpoint_520.pkl,520,Adults,ER,6.0,0.285300066284723,0.0048391497509076
trained_model_checkpoint_530.pkl,530,Adults,ER,6.0,0.2489982866324776,0.0144299305343763
trained_model_checkpoint_540.pkl,540,Adults,ER,4.5,0.2772476668265046,0.0062436164444207
trained_model_checkpoint_550.pkl,550,Adults,ER,7.0,0.2364657286286677,0.0203662932528105
trained_model_checkpoint_560.pkl,560,Adults,ER,5.0,0.2622596365906426,0.0098429385599442
trained_model_checkpoint_570.pkl,570,Adults,ER,5.0,0.2895542117772876,0.0042171592791831
trained_model_checkpoint_580.pkl,580,Adults,ER,6.0,0.2624760609819451,0.0097801557499209
trained_model_checkpoint_590.pkl,590,Adults,ER,5.0,0.3032293718425904,0.002671968022967
trained_model_checkpoint_600.pkl,600,Adults,ER,7.5,0.2668671620132985,0.0085799917686032
