checkpoint_name,training_step,population,measure,pearson_r,pearson_p
trained_model_checkpoint_400.pkl,400,Adults,ER,0.2155867662295574,0.0349002434448161
trained_model_checkpoint_410.pkl,410,Adults,ER,0.2009366608356574,0.0496403528236718
trained_model_checkpoint_420.pkl,420,Adults,ER,0.1937945427890386,0.0585049494140225
trained_model_checkpoint_430.pkl,430,Adults,ER,0.1864765137266864,0.0688889822161714
trained_model_checkpoint_440.pkl,440,Adults,ER,0.1943142923475485,0.0578189608650548
trained_model_checkpoint_450.pkl,450,Adults,ER,0.216951550247449,0.0337375396831295
trained_model_checkpoint_460.pkl,460,Adults,ER,0.2062698095830161,0.0437699777378317
trained_model_checkpoint_470.pkl,470,Adults,ER,0.1999518746741724,0.0507923986589004
trained_model_checkpoint_480.pkl,480,Adults,ER,0.1913853783000392,0.0617720590756741
trained_model_checkpoint_490.pkl,490,Adults,ER,0.2068229957902734,0.0431955468340278
trained_model_checkpoint_500.pkl,500,Adults,ER,0.1812022837500718,0.0772596110898372
trained_model_checkpoint_510.pkl,510,Adults,ER,0.1994816056450492,0.0513502637162196
trained_model_checkpoint_520.pkl,520,Adults,ER,0.1906832379575141,0.0627517209649579
trained_model_checkpoint_530.pkl,530,Adults,ER,0.1851364486869338,0.0709429276818197
trained_model_checkpoint_540.pkl,540,Adults,ER,0.1985635438988392,0.0524538748713081
trained_model_checkpoint_550.pkl,550,Adults,ER,0.1910668223500092,0.0622149698053467
trained_model_checkpoint_560.pkl,560,Adults,ER,0.2026629986318885,0.0476728687116927
trained_model_checkpoint_570.pkl,570,Adults,ER,0.2076908439274371,0.0423070084477488
trained_model_checkpoint_580.pkl,580,Adults,ER,0.2086367019371598,0.0413559793214575
trained_model_checkpoint_590.pkl,590,Adults,ER,0.2127396089771489,0.0374344457605706
trained_model_checkpoint_600.pkl,600,Adults,ER,0.2024860399998391,0.047871532071128
trained_model_checkpoint_610.pkl,610,Adults,ER,0.2121768533553008,0.0379531600673672
trained_model_checkpoint_620.pkl,620,Adults,ER,0.2141739655427336,0.0361391305582445
trained_model_checkpoint_630.pkl,630,Adults,ER,0.2003290430331124,0.0503485938516059
trained_model_checkpoint_640.pkl,640,Adults,ER,0.2209575409569185,0.0305113213961494
trained_model_checkpoint_650.pkl,650,Adults,ER,0.1965727685529086,0.0549141042455282
trained_model_checkpoint_660.pkl,660,Adults,ER,0.2064081562925724,0.0436257260724825
trained_model_checkpoint_670.pkl,670,Adults,ER,0.207983555463306,0.0420107708661811
trained_model_checkpoint_680.pkl,680,Adults,ER,0.1995660136817117,0.0512497632189996
trained_model_checkpoint_690.pkl,690,Adults,ER,0.1954763046306266,0.0563090630675617
trained_model_checkpoint_700.pkl,700,Adults,ER,0.2075184963955157,0.0424822439070565
trained_model_checkpoint_710.pkl,710,Adults,ER,0.2158422018965315,0.0346801044237594
trained_model_checkpoint_720.pkl,720,Adults,ER,0.2096259636711476,0.0403804364151982
trained_model_checkpoint_730.pkl,730,Adults,ER,0.217309739148386,0.0334378440377681
trained_model_checkpoint_740.pkl,740,Adults,ER,0.2204081005670791,0.0309377607279323
trained_model_checkpoint_750.pkl,750,Adults,ER,0.2052493260745004,0.0448463065085693
trained_model_checkpoint_760.pkl,760,Adults,ER,0.2077694621203301,0.0422272729422869
trained_model_checkpoint_770.pkl,770,Adults,ER,0.2105131960989877,0.039521911154343
trained_model_checkpoint_780.pkl,780,Adults,ER,0.2081594420077262,0.0418335977206557
trained_model_checkpoint_790.pkl,790,Adults,ER,0.2133577057956804,0.0368715754220883
trained_model_checkpoint_800.pkl,800,Adults,ER,0.2172788763835274,0.0334635782954726
trained_model_checkpoint_400.pkl,400,Kids_II,ER,0.1705513045748872,0.0966410260265529
trained_model_checkpoint_410.pkl,410,Kids_II,ER,0.1828586607974253,0.0745472674550562
trained_model_checkpoint_420.pkl,420,Kids_II,ER,0.1854124180172951,0.0705159530073932
trained_model_checkpoint_430.pkl,430,Kids_II,ER,0.1724466907689551,0.0929370730392075
trained_model_checkpoint_440.pkl,440,Kids_II,ER,0.1710004771337737,0.095752920510094
trained_model_checkpoint_450.pkl,450,Kids_II,ER,0.1820567764169153,0.0758506498034976
trained_model_checkpoint_460.pkl,460,Kids_II,ER,0.2098323607162908,0.0401793412806624
